Student Number,Korryn,Kim,Final,Model,Tweaked Model
1,High,High,High,High,High
2,High,High,High,High,High
3,High,Moderate/High,High,High,High
4,Moderate,Moderate ,Moderate,High,High
5,Moderate,Moderate,Moderate,Moderate,Moderate
6,Low,Low/moderate,Low,Moderate,High
7,Low/Moderate,Low  ,Low,Low,Low
8,High,Moderate/High,Moderate,Moderate,Moderate
9,High/Moderate,Moderate/Low,Moderate,High,High
10,High,High,High,Moderate,Low
11,High,Moderate,High,Moderate,Low
12,High,High,High,High,High
13,Moderate,Low,Low,Low,Low
14,Moderate,Low,Low,High,High
15,Low,Low,Low,Low,Low
16,Moderate ,High,Low,High,High
17,High/Moderate,High,High,Moderate,Moderate
18,High,High,High,High,High
19,High,Moderate,High,Low,High
20,Moderate,Low,Low,High,High
21,Moderate/low,Low,Low,Moderate,Low
22,Moderate,Low,Moderate,Low,Moderate
,,,,,59%
